artist_name,track_name,release_date,lyrics,neg_sentiment,neu_sentiment,pos_sentiment,com_sentiment
jamiroquai,revolution 1993,1993,revolution intro let get paramilitary time revolution verse yes got stand stand stay strong stay strong start movin right direction wait wait long long people promising divine intervention nineteen nineteen nine three nine three taking matter hand fast fast ca see ca see revolution way change change change verse well hard time white line kid nine getting gun crime war zone home ai time gave dog bone say brother brother sister sister step put picture time know revolution way change change change bridge wan na fight power come fight power wan na stand fight come fight verse question answer answer shake hand smile camera good good spend time neighbourhood black kid black kid white kid white kid working overtime crack kid job job cash cash revolution way change change change wan na fight power let stand fight power wan na fight come fight power revolution wan na fight revolution know fight power revolution stand one time revolution hey come come people stand fight power revolution begin revolution revolution revolution revolution revolution revolution revolution revolution revolution revolution break know still seem understand need revolution hey want revolution instrumental wan na stand fight hey wan na fight come pick stand fight power wan na stand fight verse well man man trouble finding coming precon precon ception ception eternal human infection one chance one chance learn learn gon na change habit lifetime soul soul concerned concerned revolution way change change change wan na fight power let stand fight power wan na fight come know stand fight verse take higher higher higher higher gon na learn fight power sunshine sunrise new day new day know go right way faster faster stronger stronger help brother soul life longer blinded blinded ca see ca see revolution way change change change wan na fight power time fight power verse doubt doubt time time everything sweet sunshine meantime meantime mankind mankind trouble draw line still respect respect yet thought intellect sometimes think music hope revolution wan na fight know fight power come let revolution wan na fight revolution come fight power revolution know stand fight revolution come fight come fight revolution come fight come fight revolution come fight revolution revolution revolution revolution revolution revolution revolution revolution revolution revolution revolution revolution know still seem understand need want revolution instrumental revolution revolution revolution revolution revolution revolution revolution revolution wan na stand fight come fight power know fight want stand fight hey come pick say come pick come pick fight fight fight wan na fight fight fight stand fight power gon na lose liberty hey gon na stand fight care happens know know know got stand fight hey hey stand stand stand fight take take everybody fight powerembed,0.151,0.666,0.183,0.9707
steps ahead,trains,1986,daretozlatan twitter tomorrow zlatan need character please change rule zlatan daretozlatan need help zlatan learn take risk make legend ask question learn way daretozlatan dear edgleylfc daring zlatan easy start trying move done keep trying zlatan daretozlatan incorporate zlatan teaching life one day nikefootball might make named daretozlatan zlatan applauds number time got zlatan one sentence always others gut try daretozlatan thing zlatan one predictable zlatan practising daretozlatan mad bailofwz would sane man try yard overhead kick international match daretozlatan zlatan like zlatan practice pressure heat rise game daretozlatan http hey learn unlearn word safe know mean play daretozlatan dear armouredguy wise man said surprising opponent key surprising wise man zlatan daretozlatan let work together zlatan score goal eurosport writes deal daretozlatan hi failure first step success second step growing ponytail daretozlatan millarharry two zlatans would unfair daretozlatan zlatan favourite stadium one grass two goal every stadium potential stage daretozlatan perfection show true inner peace use train pressure muscle daretozlatan heat becomes unbearable one thing make daretozlatan come dealing pressure follow tip daretozlatan zlatan embrace fear take risk necessary overcome daretozlatan http dear amirunsalleh nothing zlatan easy zlatan daretozlatan hi lead lead lead daretozlatan alotibeh zlatan admires daring goalkeeper world hope play zlatan daretozlatan dear khaledsaifi zlatan used simple thought process daretozlatan criegg18 weaker foot weak always something improve take shot daretozlatan fear zlatan like gas turbo charged sport car put go daretozlatan hey citralistyarini never score diving header keep foot ground daretozlatan need impress scout take risk score great goal work try daretozlatan daretozlatan dare miss order score risk lose order win doubt use take risk surprise opponent done send one daretozlatan yes zlatan human way great white shark fish daretozlatan zlatan best goal always next daretozlatan player train one step ahead game zlatan train two step ahead world daretozlatan jesperbulykin fear breakfast defender lunch pickled herring dinner daretozlatan passed stage one daretozlatan next step yard shot foot zlatan must trust instinct think one step ahead risk become reflex daretozlatan http nathanbkshanko zlatan us blindfold daretozlatan http tc=1 thing zlatan play safe face danger daretozlatan http tc=1 skill zlatan scored luck zlatan swedish daretozlatan hazardislife belief may wait til last minute first chance come daretozlatan like zlatan zlatan score tap in yard heel daretozlatan christiaaannzz pressure make adrenalin adrenalin make performance performance make zlatan zlatan make grown men cry daretozlatan mattcrivelli worst zlatan vocabulary although goal frequently used daretozlatan ayyeitsarv trust instinct learn see bicycle kick nothing volley daretozlatan koerazak need zlatan teach believe zlatan # daretozlatan today good continue zlatan taught ever doubt use #,0.091,0.739,0.17,0.9972
horace andy,don't let problems get you down,1996,diggin crate intro diamond stop stop stop stop stop stop stop verse diamond praise lord showbiz partner beat nike foot buying old record habit get run volkswagen rabbit know got ta got prop cop called mcgarrett played hawaii formed production company show jay studio lab lab session closed know got big nose tried sniff name lack originality damn shame front know got open like pack token pulled coat one gamed know girl ran train hard feeling girl appealing share dealing sexual healing know groupie put scoop used live forrest daughter life morris used play softball man horace kick flavor like man sonny chiba aries sign compatible libra like program beat diamond wan na say peace showbiz deal make let get busy dig crate verse showbiz thank allah diamond afro instead keep dread head partner past back hoodlum beating nerd started way back way back twelve year ago nine ten smoking weed hanging playing hooky used breakdance jam electric boogie girl watched jocking nickname rock crowd shocking freak clocking step see showbiz performin beat hit hard like big george foreman mc dj thought nice get upset like buster tyson plan still man since beat mitch green outside dapper dan wait minute different subject talk moet paper effect back show mc relying giant giant relying never cry crack crack client girl stick like krazy glue think getting dough treat hoe like drug say lamp residence keeping dead president fact like pocket fat flat rapper singer hooker bring problem go ahead humdinger show blow straight crew called diggin crate verse get back get stick get bat get lick still get fat try dis get backhand dressed black black hat black man giant better clever go ahead sleep rest forever ever like bomb sometimes calm telling happen mic right palm showbiz sleep go ahead retreat face agony defeat command remember black hat bottom timberland save think pose threat chill watch many hoe get sweat prop got kick rhyme rhyme sure always get fat hype track finesse psych gim mic back crowd capture microphone master finger licking kicking africa bold kind rhyme gold mine let set old time think ready wan na battle music rhyme giant greater great group called diggin crate interlude lord finesse gon set like verse lord finesse come mics pulverize lord finesse time go mine stand back let men play put rhyme shape like bengay great honorable sucker bomb run game carnival get mine soon say start sweat hood funky rhyme trademark get fame name funkier shit stain mics smoke rhyme hurl hobby collecting girl strictly lady call lord finesse money sex finesse name say came play could fun put whip chain away sex money make happy man sport style jackie chan keep rising type sink low take loss mic think lord finesse make papes crew called diggin,0.073,0.776,0.151,0.9976
cocoa tea,grow your locks,1993,dead goofy intro nwm cee murdaa big murdaa motherfucker nigga fuck goofy big grimeyy got grimeyy took city fuck nigga mad mama murdaa nigga verse deep grimmeyy free lil dj section cuz know bitch smokin clutching xd cruise strip somebody get nigga crutch ai standing shit called apple freaky declined sucking dick lil tried creeping crib shot as door say smoking brother dp roll noah bitch got tyga swisher shit fresh morgue claim beefed deep bitch fuck score street caught lacking west lil blood put cleat pistol scraped jerk damn near knocked teeth shit since lil revolver ask stillwell reece nigga known binkin car quit cappin dee clutching xd ride ca let like zoe slide set ai outside even post store caught lux nigga tail tuck swear beefing hoe said caught lawn well fuck ai blow keezy bm ran gang shit real deal demon heard gave daughter lean blood fuck thinking west caught bitch like nah ai mean flip line like couple line whole team ringing nigga telling tell free lil tyrell throw homecoming party filled demon shell lil west jb beat heard keep taking hit line like send shank mail could get jiggy nigga bitch clique bitch gang clique semi told pull blocked think ho tried spin put lil bharger new ball infiniti jb lawyer say ca smoke blowin nigga hoe ai get outside lil tana got knocked thought never leave brother lil tyga got rocked lil chris rat slid ferris tried score got blocked bitch thumbing hundred smoking ask lil hand work lil bro money coco ho nigga enrolled stopped coming sumner nigga cappin gang tell clapped mama let get floyd used clique linked strip heard pressure gang pressin nigga like jb stick nigga told lil cousin fuck let bitch rip as like mexico lil ko six say smokin brother murdaa roll borey time shooting shit vick toreyy first gon shit nigga keep tellin story tell city ai run put shit lil borey bitch grimeyy extra slimy behind ai better go hide county send blood brother ten bitch need lil bounty pistole bought pistol draco kept bouncin free jam took hot cot ai booked killin tweak lil thumper box come get time bitch grow lock crazy drill free make creep lot gon think love bitch see hoe section shit four thou dp blood steady spinnin block jammin zoe pound much temptation david ruffin bitch runnin motown gon gang service dressed like heartbeat nigga seen started shakin think heard heartbeat keep pushin money date back keep scrapin beef tell hoe turn shit play deep find gon keep passin lil twan murdaa anxious glizzy takin time last goofy nigga lived play nine bitch gon think got front knife spine got nigga side town send ten bet killer come gun tell neighbor stay put bitch got hundred round grab goggles grab vest gon fuckin drown got nigga side town send ten bet killer come gun tell neighbor stay put bitch got hundred round grab goggles grab vest gon fuckin,0.192,0.753,0.055,-0.9993
brotha lynch hung,rest in piss,1995,rest piss intro back motherfucka know sayin nine whatever fuck know ai dead yet know sayin real loc nigga verse dead man walking say every night hit load ak post window till come day anyway hey feel simmering brain thought death cloud mind nigga gone away mini clip rip packed really got backfade nigga done hit grave killing old day way sack purple kush make sicker sick get ripgut cannibal wish cause nigga everyday day day die creepin set mini mac one five ruger gauge pump trunk black beanie disguise nigga ca see cause bloccsta locs eye crept like black cat mack mac lap fat sack shag took hit shit seen nigga fo fifth let ounce no-doz indonesia spliff millimeter nigga dump pump one bitch put grave empty ounce bottle leave drip bounce ounce mac fat fat sack indo shit sicker sick nigga got ta admit grab shit either bone get caught hot one nigga rest piss call agent double deuce fo blocc got milli glock ready put one knot rest piss shit call agent double deuce fo blocc got milli glock ready put one knot rest piss shit call agent double deuce fo blocc got milli glock ready put one knot rest piss shit call agent double deuce fo blocc got milli glock ready put one knot rest piss shit verse rep depth deuce fo blocc glock pocket full ce better wear bullet proof vest set better pack tech cause neck clip full shit nigga trip put one dick ripgut cannibal hannibal shit nigga nut gut chest stomach running threw strap back twist sack back garden blocc kicking maniac nigga mainly act sicker sick clip progress put underground brain full nine slug read reader digest found new love trickling brain half doja half half fact insane nigga deuce four blockster nigga never put glocks get cock sucked nigga ca stop locc brain insane main gang maintain untouchable cut throat leave street lynch around throat motherfucker cause ai got love block pop caught hot street block nigga took shot rest piss call agent double deuce fo blocc got milli glock ready put one knot rest piss shit call agent double deuce fo blocc got milli glock ready put one knot rest piss shit call agent double deuce fo blocc got milli glock ready put one knot rest piss shit call agent double deuce fo blocc got milli glock ready put one knot outro street nigga know sayin tell something fool rest piss nigga busted nigga babe reg rest piss mothafuckas busted nigga hyst rest piss ho ho know rest piss little trick as bitch know stayin peace real nigga locsta bloccsta know sayin locsta know sayin nigga blocc maniac know sup nigga long time mothafuckas know mothafuckas give mothafuckas prop know mothafuckas fuck know sayin still fo blocc know fuck nigga cause nigga comin nigga shawn nigga get nigga even trip mothafuckin house trip real blocc shit deuce,0.217,0.716,0.066,-0.9996
meat loaf,i'd do anything for love (but i won't do that),1993,anything love intro would anything love run right hell back would anything love never lie fact never forget way feel right way would anything love would anything love would anything love wo wo verse day come easy day come hard day come day never end night breathing fire night carved ice night like nothing ever seen maybe crazy crazy true know save one else save long planet turning long star burning long dream coming true better believe would anything love till final act would anything love take vow seal pact never forgive go way tonight would anything love would anything love would anything love wo wo would anything love anything dreaming wo would anything love anything dreaming wo would anything love anything dreaming wo verse day pray silence day pray soul day pray god sex drum rock roll night lose feeling night lose control night lose watch dance thunder roll maybe lonely qualified one one promise keep long wheel turning long fire burning long prayer coming true better believe would anything love know true fact would anything love never turning back never better long long would anything love would anything love would anything love wo wo would anything love anything dreaming wo would anything love anything dreaming wo would anything love anything dreaming wo would anything love anything dreaming wo would anything love anything dreaming wo would anything love anything dreaming wo would anything love anything dreaming wo verse never stop dreaming every night life way would anything love would anything love would anything love wo wo call response raise help help get right godforsaken town make little le cold hold sacred hold tight colorize life sick black white make little le old make magic two hand build emerald city grain sand give something take home ooh cater every fantasy got hose holy water get hot take place never known forget everything brief interlude midsummer night fling see time move wo wo know territory around turn dust fall sooner later screwing around wo wo outro anything love would anything love would anything love wo wo,0.051,0.732,0.217,0.9997
enrique iglesias,si t? te vas,1995,rafale de punchlines intro ouais viens tout droit du la plume aiguisé le propos est puissant et je grave de sur une plaque de marbre tu reconnais le style du clan la hyène du mon grand de rafales de punchlines dans leurs mères et je vois la concurrence qui pisse du sang rafales de punchlines hey ouais la rue la vrai la hyène sinco gang tu veux punch frérot monte te han couplet unique la hyène salam aleykoum le khos je suis de retour dans le game pour le éduquer de comme le le rer dégagé du quai en featuring la vérité le franc parlé dont hérité pendant que le salopes du rap game se mettent danser comme iglesias enrique calibré de savoir et me bastos rafale ton bide validé par la street gros pa par la série de gastambide rimer la violence noire et morbide le pieds sur terre le cerveau en orbite comme paris le meilleurs supporter la ligue du rap tranquille la rue façonné alors chante comme un passionné mené de guerres pour voir no quartiers ovationné la confiance est un cadeau qui coûte cher il vaut mieux savoir la rationner si ta pétasse est bonne mais consomme plus bolide elle restera pa longtemps stationner le mépris est total pour le go de banlieues défavorisés mais parfois le bourgeois trouvent leurs intérêts donc no vies misérables sont scénarisé pa besoin de perdre du fric dans le paris pour que me défaites soit analysés si pa la ha pue la merde et de condés anisé quand je passe table pour graille et pa pour dénoncer me khos je choisi prod comme de la bien saignante pour le plaisir planter me crocs personne ne choisit le membres de sa famille comme personne ne choisit défauts dès la naissance la mort te regarde de travers tous signé un contrat chez death row tu peux te croire dans ville quand le soleil est au zénith respecte le règles ou tu finit plein de sang dans une comme une serviette hygiénique peut dénoncer ce qui se passe en palestine sans pour autant être antisémite comme tu peux ne pa rouler en renault dans ta vie sans pour autant être anti scenic je de punch assassine qui peuvent aux assises pour avoir violé le putes du rap game ou tirer sur la rue un banquier pa crédit comptant la réussite je veux faire du bif en liquide pour en finir avec le chèques je pourrai accélérer comme dans mais trop la flemme je préfère dédicacer me khos me soldats et tous le détenus en taule fresnes no cœurs sont taillés dans de bloc de granit donc du solide lorsque no cœurs sont taillés dans de bloc de granit donc se lapide quand il de la haine va brutaliser le rap game comme me opinion sont encré dans tête sont comme tu peux croiser marchant seul le crâne rasé parce ne rase pa le murs chez nous le mot et le actes se font la paire tout ça parce de burnes la pénurie du bien le mal fait de ravage je regarde le monde se cannibaliser le dealer flippent que le cannabis soit légalisé je connais de familles qui vivent de la marijuana comme dans le rue de tijuana voiture comme la kalash prêt faire feu sur le agent de douanes viens pa parler ici tout le monde ba le yeuc le seules geste affectif que la rue connaît le bon vieux coup de tête balayette une balle direct ta pierre tombale est dressés ton nom écrit comme au starbuck la vie coûte cher mais la mort ' dépecer moto casqué comme le daft punk génie en herbe de la rue part en fumé comme la skunk du rempli de principe le valeurs disparus comme la funk je reviens du futur pour sauver le mais sans la coupe de zemel la trunk le fils de pute je le met tous dans le même panier la concu et dunk outro rafale de punch ouais petit de rafales de punch le game est niquer je suis là pour le plier je suis sans pitié comme bâtards de keuf dans le ta pour leurs le dans le ta pour leurs le dans le ta pour leurs le la concu meurt sou me rafales de punchsembed,0.021,0.972,0.007,-0.8708
aaliyah,down with the clique,1994,clique intro kelly got little something check haha kelly background vocalist aaliyah clique ooh let hear say clique ooh let hear say clique ooh let hear say clique ooh let hear say verse aaliyah kelly well guess time wreck shop show peace beat drop house throw hand let see brother sister spread love somethin wrong see project homies got back got back droppin old school new school pa house clique thang kelly background vocalist aaliyah well clique ooh let hear say clique ooh let hear say clique ooh let hear say clique ooh let hear say verse aaliyah kelly microphone check must know thought knew took little time see waitin long peep mm check check check check dog house pump fist air sing pump kelly track clique thang kelly background vocalist aaliyah clique ooh let hear say clique ooh let hear say clique ooh let hear say clique ooh let hear say verse aaliyah kelly mind homies chit chat time ai get back see jam beat slam make say goddamn clique stick liyah glad feel boy feel good know clique thang kelly background vocalist aaliyah clique ooh let hear say clique ooh let hear say clique ooh let hear say clique ooh let hear say break bridge aaliyah kelly tonight night take boy put clique thang night let explain menu check verse kelly well first background posse clique funky second chapter clique pa house yes know clique project homies clique well double extra large clique plus got da smahd clique town posse clique peace hood clique kelly background vocalist aaliyah clique ooh let hear say clique ooh let hear say clique ooh let hear say clique ooh let hear say clique ooh let hear say clique ooh let hear say clique ooh let hear say clique ooh let hear say clique ooh let hear say clique ooh let hear say clique ooh let hear say clique ooh let hear say 2embed,0.01,0.935,0.055,0.9892
james cotton,ain't doing too bad,1984,ace sample morgan freeman let tell something friend hope dangerous thing hope drive man insane got use side better get used idea intro sol virani method man got cotton mouth know go verse sol virani look wonder fail many go hell trying send good message fuck many sell hoping assumption theory fail hoping lesson goodness rich prevail saying perfect say harder got standard nigga rocked starter cap got moral living code arrive even hardly drove figure intuition gone expedition suffer crazy vision need psych camp see einstein newton greatest mind ever time crazy turn lamp enlighten even frightened sensei as get riping dude help find right path like big nissan pull right direction ai got leash searching wealth homie trying get feast trying get lady johnson like keshawn boy put beat float away ai flowing current yah flow astray swimming new direction wo predict like dropping ca fuck school fish cause take current like everybody else nigga similar ca think hook sol virani got give real got tell feel deal waiting day got give real got tell feel deal baby want parlay got give real got tell feel deal nigga wrong way got give real got tell feel deal verse method man let take back check old school flow like water see sorta got rick james aura let whole school know order ca tell old fool know anything organic whole food store taking nothing granted hoe slow bad one door open close two ball dragon goku glow stash gram ceiling fan blow pill giving chill drive hard bargain never give wheel ill park hill never ran never listen king jack queen tell deal black white cruella de vil dog give cruella steel blaw meth ai nothing beverly hill team living legend real hook sol virani look got give real got tell feel deal waiting day got give real got tell feel deal baby want parlay got give real got tell feel deal nigga wrong way got give real got tell feel deal verse sol virani grew impatient longer could vacant see hoard thought gold box lay like patient got pill like one guess put matrix see bos call cancellation aching sweet love back breaking tell universe communicating baby time celebration roll tree take vacation picture standing corner magnolia strolling though project nigga man told ya ai standing next either cause hold ya hit feeling like duck straight plucked fucking straight fucked lube want play tough boy armor piercing round wet as boy like transvestite keep shit tucked boy outro sol virani got give real got tell feel deal got give real got tell feel dealembed,0.106,0.79,0.104,-0.9062
ice cube,really doe,1993,really doe intro ice cube sample slick rick pointer sister gunshot ai nobody talkin talkin fella shut fuck fuck stepping motherfucking fuck chuck taylor wallabee as got umm um khaki fuck back got sweatshirt know fat three crease slingshot khaki shirt fuck umm got cake cutter pocket got afro braid fuck motherfucking roller got believe something ask motherfucking self believe fuck fuck verse ice cube question like smith told wesson shady old school diploma leave as coma got herringbone welcome terrordome sorry reverend god getting robbed reach smog atomic dog hard swallow janky rollo count ten try follow like waco take four atf death bust left western go get room want felon like stacey koon get right bitch hit light switch go tap as like really doe ice cube pointer sister slick rick got believe something west side lynch mob believe motherfuckin motherfuckin fuck verse ice cube thirty holding tank catch vapor make pillow toilet paper concrete bench kickin hemorrhoid éses deep fuck boy phone check collect call baller mama said please call do-wah-diddy far new jack city seen one peer fuck doin said enemy treat like shot kennedy deputy bitch think queen bee ink thumb index pinky sir set play dumb general mama put house bounce motherfucker love ya like bos sauce got shit sewed like betsy ross friend know buy indo never fuck silly hoe really doe ice cube pointer sister slick rick got believe something really doe bitch believe motherfuckin goddamn motherfuckin got believe something yup right believe motherfuckin goddamn ... fuck verse ice cube knock like nyquil kill quick trick run ya gun got backbreaker double pump rump shaker play hookie aqua boogie concrete nike ya get stripe living unforgiven mic punk running like roach light shit starting bust cap like jerome martin looking punk benefit got baby take many shit know got grip like baby tit scopin hopin thigh open kick back sit back hit phillie slow hooker hoe really doe ice cube pointer sister slick rick got believe something ice cube believe motherfuckin goddamn 'm motherfuckin got believe something really doe believe 'm motherfuckin motherfuckin motherfuckin got believe something east side believe fuckin fuck fuck got believe something south side believe 'm motherfuckin g motherfuckin g g got believe something west side believe heh know fuck fuck got believe something believe fuck,0.121,0.823,0.056,-0.9956
