artist_name,track_name,release_date,lyrics,neg_sentiment,neu_sentiment,pos_sentiment,com_sentiment
jamiroquai,revolution 1993,1993,intellect everybody music instrumental crack ception everything strong see got intro hand one yet ca thought gave sunrise soul think movin crime finding trouble liberty cash people habit picture new help break learn doubt get long intervention sweet time stand overtime job powerembed promising know wan paramilitary smile need working understand let sister seem stay lifetime happens gon go nine na human longer chance stronger kid change hey spend three hope meantime infection life mankind sometimes verse want draw question matter dog way pick bone revolution say put come bridge blinded well concerned eternal faster wait camera white getting answer precon home lose nineteen yes gun good begin day brother war care respect take sunshine fast power line fight divine shake start black man coming hard still higher neighbourhood ai taking zone direction step right,0.151,0.666,0.183,0.9707
steps ahead,trains,1986,cry mean although today might goal eurosport turbo passed first grown use see got ever writes true lead one admires fear yard overhead world must mattcrivelli trust named thought vocabulary in unlearn instinct like car think dear minute performance us jesperbulykin charged train nathanbkshanko ayyeitsarv play amirunsalleh belief win potential millarharry sport help shark frequently work grass doubt nikefootball learn unfair predictable unbearable bicycle pressure pickled koerazak time daretozlatan dealing become legend keep know others improve need let mad face follow number alotibeh every volley score best reflex stage necessary taught go gut danger bailofwz something move perfection lunch scout http human failure international easy chance always send foot opponent never herring tip change hey christiaaannzz nothing simple hope teach player risk life khaledsaifi make game character muscle surprising breakfast practising tomorrow favourite question show dare last thing stadium process ponytail way safe worst order becomes tap gas surprise edgleylfc defender put come ground great success zlatan done try goalkeeper zlatans applauds kick wait growing together scored citralistyarini next luck key hazardislife match men white trying heat sentence word lose overcome yes weaker adrenalin good two teaching day hi twitter daring blindfold second dinner sane peace would take impress please believe inner start embrace wise may continue heel header deal rule said shot man ahead used armouredguy skill diving swedish til incorporate practice miss rise fish ask step weak,0.091,0.739,0.17,0.9972
horace andy,don't let problems get you down,1996,diamond formed compatible crack program dead smoke papes effect twelve collecting sure kind lamp master africa licking retreat keeping aries jay george pose run stand psych funky sonny damn ago gon go crowd hoodlum dressed scoop shame hype always foot client singer sink humdinger game verse gold backhand gim production ten weed nice fun dapper timberland record forever command straight chill flat prop green getting company stick lack closed crew crate boogie take hooker shape start nerd sniff live fact shit finesse session mc busy cry president allah loss tried started blow feeling share watch got mics stop ever pulled shocking daughter telling rock kicking like problem afro pocket play group habit sport clocking honorable ran get girl dealing different buster finger mic originality rest never electric coat studio low foreman funkier life tyson performin sleep back residence outside way set battle say come great forrest hat praise smoking bomb jocking kick wait paper men buying bold peace lord chain dan since mine black interlude token used still chan nike groupie clever name treat calm beat palm lady intro one cop strictly better save drug softball away watched stain called minute whip train bottom nickname dis hurl time sexual know wan open rising playing let face hoe threat sweat diggin soon appealing past healing mcgarrett thank sucker breakdance type happy chiba carnival mitch sometimes pulverize many show horace put glue ta showbiz dig try capture played hood lab volkswagen flavor hanging hit big sex giant man fat hard happen pack track money music head relying see krazy came rapper thought think hooky hobby jam rabbit freak hawaii morris keep partner ready nine could na upset old trademark sign make nose defeat plan front subject fame dread gamed bat bring dj libra bengay microphone remember greater jackie talk style ahead year deal rhyme moet agony lick dough call instead step right beating,0.073,0.776,0.151,0.9976
cocoa tea,grow your locks,1993,behind money mean tell bro spine pistol cleat creeping slide swear tried noah linked blood cuz beat first blow started see mexico dead smoke rat knife story got known hot takin claim flip ride lawyer ringing freaky intro took hand murdaa drown mama reece killin better find ca thought daughter gave stopped sucking dick telling jb homecoming called kept twan like think blowin lot car jam shakin lil steady tyrell county somebody slimy near play crib fuck killer xd gang neighbor new keezy dp box jerk work goofy ran crutch shank extra get blocked bouncin seen leave pressure shell cee time run team hide knocked turn keep know cruise pistole need david let west mad damn stay score six clutching party enrolled toreyy gon stillwell hoe nwm thumbing side go could coco nine declined grimeyy dressed free cot service tuck beef slid cappin smokin send never as ferris morgue motherfucker tweak section couple crazy fuckin deep ball make told bharger tyga goggles verse strip tana ten back bought last motown outside vest passin set thou front borey fresh say clique post put come hundred pull ko bm grow cousin well throw block town rocked whole ho smoking bounty caught booked mail semi temptation revolver much lock creep love door bet quit four city demon beefing roll zoe filled pound standing rip jammin dj stick lean binkin clapped gun lacking sumner thinking grimmeyy lawn brother draco street heard vick spinnin pushin chris swisher runnin tellin drill hit big line lived date store since glizzy scrapin real nah pressin bitch infiniti deal said shot anxious ruffin coming used even floyd round apple dee scraped shit nigga heartbeat ai spin beefed shooting ask teeth taking lux jiggy tail grab thumper,0.192,0.753,0.055,-0.9993
brotha lynch hung,rest in piss,1995,tell wish bloccsta brain ripgut five gone load agent trick ruger see hannibal dead got trunk hot stop intro one grave lynch bottle simmering yet took dump maintain better away clip ca mothafuckin shawn thought admit dick indonesia locs pocket like kicking eye cloud pump tech reader rep fuck give underground gang new everyday bounce reg piss walking get long pop seen leave mack time sucked night know deuce till creepin ready let fool garden every busted sack mini gut nine cause something mind rest ak as never old indo hey maniac sayin depth motherfucker around doja packed mothafuckas act make stomach verse cannibal knot ounce cat glocks half back untouchable gauge shag main way vest death set bone fifth proof say post drip put come chest sup read mac ta empty hyst block sick feel throat sicker ho die motherfucka done caught fo millimeter comin really beanie spliff double prop love four slug trickling locsta found either rip trip mainly stayin anyway purple loc glock neck house strap day killing digest street crept ce peace outro locc babe twist hit progress wear running whatever cut bullet little real bitch black kush fat shot man nut insane disguise fact even threw still lap pack shit blocc nigga full ai blockster backfade cock grab milli call window,0.217,0.716,0.066,-0.9996
meat loaf,i'd do anything for love (but i won't do that),1993,carved everything feeling fantasy see watch got known hot stop intro ever true one hand grain better save silence build control rock soul planet like territory dust thunder le forgive brief give midsummer raise help star sacred qualified sooner final long get seen colorize emerald time run fall vow night turn keep know dreaming till drum dream else every go fire move forget god something wheel hold prayer godforsaken easy never old nothing around wo crazy place response life act make verse seal tonight hose turning cold back cater promise way ooh pact holy come breathing town sick feel lonely love city roll pray white screwing home lose maybe two day lie hell outro would end take believe water little ice black magic interlude sex coming hard anything later tight fact sand dance burning fling call right,0.051,0.732,0.217,0.9997
enrique iglesias,si t? te vas,1995,préfère paris accélérer casqué ovationné va grave voiture choisi futur travers bif banlieues crocs bonne mort rue avoir ba soleil bien pa balle vie hérité direct couplet nous dealer solide noire chante go rap quai pénurie scénarisé contrat faire reviens met brutaliser la retour game consomme viens besoin bolide chèques pierre alors parce punk défaites sou soldats sinco choisit façonné cœurs coupe fresnes font validé peuvent regarde mépris elle actes merde salopes croiser burnes passionné restera fait planter pétasse salam même là vrai morbide parler sur leurs vieux franc règles punchsembed total si familles zénith bâtards est dès agent un misérables crâne taule du guerres ravage row monde petit que vies terre marijuana connaît gang dunk être avec pisse ici rimer marbre longtemps pue perdre liquide bastos rer antisémite anti l'on pour puissant plume bon tranquille skunk crédit frérot gastambide palestine vois membres part gros respecte et comptant bloc tijuana concurrence naissance en rasé réussite aux éduquer rationner ce trop mères dont se par meurt mon violence détenus fils cannabis famille au han punchlines khos bourgeois taillés cerveau calibré plier flippent série trunk intro rouler écrit douanes coûte no violé enrique ville mal featuring mettent orbite qui suis pute coup scenic plus monte vaut keuf tout plaque dénoncer banquier légalisé tous vivent aleykoum sang signé ça encré chez personne haine seules dressés affectif parlé nom parfois analysés finit cadeau sans condés pieds quand dépecer reconnais une défavorisés paire hyène peut mieux il ta pitié dans seul passe dégagé sauver mais veux principe intérêts ton disparus renault outro croire concu rafales ou prod ne ha pourrai cher quartiers vérité rempli punch panier grand murs bide connais peux yeuc autant prêt je daft iglesias unique pendant clan finir le cannibaliser tu fumé supporter plaisir sa putes ouais tête confiance défauts meilleurs mené plein niquer granit saignante aiguisé dédicacer rafale opinion lorsque stationner graille hey assises soit comme valeurs geste te serviette zemel danser propos fric balayette death feu assassine rase savoir flemme starbuck funk herbe tirer ligue hygiénique génie sont trouvent street anisé marchant style kalash moto me voir donc table de lapide mot droit tombale,0.021,0.972,0.007,-0.8708
aaliyah,down with the clique,1994,spread background check beat goddamn first see aaliyah got air intro hand chapter took chat must thought pump jam smahd new pa extra break vocalist get long time plus night know funky wrong let sister something wreck kelly mind waitin old chit mm make verse tonight haha thang show back somethin dog drop ooh say clique put bridge guess shop throw well town feel sing peep double love menu project hood large stick glad yes liyah good microphone house brother posse second peace da school knew take little droppin explain ai track hear slam fist boy homies,0.01,0.935,0.055,0.9892
james cotton,ain't doing too bad,1984,virani tell everybody leash keshawn check gone newton beat frightened johnson blow feeling use see magnolia parlay lady got hill ever intro one freeman better find similar away friend ca drive thought current searching standard communicating fan food sample like think rich baby lamp play cruella fuck feast figure give picture new help dragon sell box riping ran fucked get gram bos mouth flowing time sweet team ace psych legend turn transvestite waiting aura hook wealth glow giving know need open swimming patient wrong predict tree greatest let sol fool else path matrix hoe vacation side granted go corner cause could something wheel celebration hold grew flow homie expedition mind longer as send never goku fail old organic enlighten nothing hope wo crazy king rick strolling code cancellation ball ceiling told verse gold duck stash bargain want many prevail cotton park pill back thing ya sensei dog way order tucked drove say though put pull saying float theory guess rocked feel whole dealembed harder starter straight chill living close ill love door hoard aching arrive roll project tough dangerous wet piercing moral keep next either jack white standing trying idea meth perfect fucking good two sorta day universe steel dropping yah impatient hoping vil hell outro school bad goodness lesson morgan lay take vacant hit big vision nissan blaw look armor queen store water intuition beverly real lube slow black hardly deal man suffer assumption used hard anything james listen wonder plucked method insane even round cap shit nigga dude astray ai breaking fish message taking de direction boy einstein call camp right,0.106,0.79,0.104,-0.9062
ice cube,really doe,1993,bench sauce phone check stepping treat grip sir goddamn quick umm trick got intro one lynch kickin stripe mama welcome starting friend roach ross thirty sewed room aqua cube sample pocket like afro think far enemy bee jerome tank pump rollo baby diploma play mob south sweatshirt stacey fuck martin looking new bounce thumb slick get bos seen leave run éses count know east nobody open nyquil slingshot baller herringbone collect buy catch west sister follow tit bust janky hoe light mic side go crease fella god something general chuck smog toilet as never betsy old indo shut three motherfucker heh fuckin deep rick cutter make peer told terrordome verse self sorry hookie benefit many want taylor ten question pinky back holding gunshot ya dog kennedy death tap set wallabee punk index motherfuckin put motherfucking reach waco wesson rump kill roller robbed try really atf um double living knock kick love western sit city four coma paper cake doin getting jack talkin unforgiven phillie vapor doe shirt hopin smith gun switch house scopin ink thigh hemorrhoid backbreaker school boogie swallow take hit please reverend hooker khaki pointer queen running believe shady bitch slow ice yup fat shot said hard deputy dumb shaker braid concrete left cap shit nike ai atomic silly ask boy felon call pillow right koon,0.121,0.823,0.056,-0.9956
